Comment,Designator,Footprint,LCSC
"Arduino_Nano_v2.x","A1","Module:Arduino_Nano",""
"10nf","C1,C2,C5,C6,C8,C9,C12","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"10uf","C14,C13","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"0.47uf","C15,C11","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"100nf","C4,C3,C7,C10,C16","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"CH1","CH1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH1_ACC","CH1_AC1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_CH1","CH1_FILL1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH2","CH2","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH2_ACC","CH2_AC1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_CH2","CH2_FILL1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH3","CH3","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH3_ACC","CH3_AC1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_CH3","CH3_FILL1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"ClockOutput","CLK1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_CLOCK","CLOCK1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CH1","D1","LED_THT:LED_D3.0mm",""
"CH2","D2","LED_THT:LED_D3.0mm",""
"CH3","D3","LED_THT:LED_D3.0mm",""
"CLK","D4","LED_THT:LED_D3.0mm",""
"1n4148","D6,D5","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal",""
"Fiducial","FID1","Symbol:OSHW-Logo2_7.3x6mm_SilkScreen",""
"Fiducial","FID2","Symbol:OSHW-Logo2_14.6x12mm_SilkScreen",""
"MountingHole","H1,H2","MountingHole:MountingHole_3.2mm_M3",""
"Conn_01x12","J10","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical",""
"Conn_01x12","J11","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"Conn_02x05_Odd_Even","J12","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"Conn_01x10","J14,J15","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x03","J16","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x10","J7,J13","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"10k","P_TEMPO1,P_CH2,P_CH1,P_X1,P_CH3,P_RND1,P_Y1","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"2N3904","Q2,Q1","Package_TO_SOT_THT:TO-92_Wide",""
"100k","R1,R2,R3,R7,R4,R5,R6,R8,R9,R10,R11,R15,R12,R13,R14,R16,R17,R18,R19,R23,R20,R21,R22,R24,R43,R44,R45,R42,R41,R40,R31","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"100r","R25,R28,R27,R26","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10r","R30,R29","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"1k","R39,R38,R37,R36,R35,R34,R33,R32","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"CV_RESET","RESET1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"SW_Push","RESET2","Button_Switch_THT:SW_PUSH_6mm",""
"RandomGate","RND1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_RND","RND2","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"MCP6002_1","U1,U2,U3","Package_DIP:DIP-8_W7.62mm",""
"L7805","U4","Package_TO_SOT_THT:TO-220-3_Vertical",""
"LM4040LP-5","U5","Package_TO_SOT_THT:TO-92_Wide",""
"74HC595","U6","Package_DIP:DIP-16_W7.62mm",""
"CV_X","X1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""
"CV_Y","Y1","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles",""